round=1 log2_max=0.000000000000 seconds=0.0253
round=2 log2_max=-2.000000000000 seconds=0.0116
round=3 log2_max=-4.000000000000 seconds=0.0233
round=4 log2_max=-7.192645077942 seconds=0.0238
round=5 log2_max=-9.192645077942 seconds=0.0381
round=6 log2_max=-14.101209691619 seconds=0.1174
round=7 log2_max=-17.585868101565 seconds=0.0221
round=8 log2_max=-21.645487805205 seconds=0.0165
round=9 log2_max=-23.645487805205 seconds=0.0201
round=10 log2_max=-30.446985220553 seconds=0.0177
round=11 log2_max=-34.943082436093 seconds=0.0127
round=12 log2_max=-39.711357129543 seconds=0.0173
round=13 log2_max=-40.695263674931 seconds=0.0168
round=14 log2_max=-43.432361595998 seconds=0.0144
round=15 log2_max=-44.861566455166 seconds=0.0171
round=16 log2_max=-45.994207069706 seconds=0.0171
round=17 log2_max=-45.994207069706 seconds=0.0161
round=18 log2_max=-47.993480425493 seconds=0.0132
round=19 log2_max=-49.993427753939 seconds=0.0172
round=20 log2_max=-53.186025738094 seconds=0.0171
round=21 log2_max=-55.186025128140 seconds=0.0173
round=22 log2_max=-60.094264982468 seconds=0.0170
round=23 log2_max=-63.578844489614 seconds=0.0173
round=24 log2_max=-67.638523557151 seconds=0.0173
round=25 log2_max=-69.638523557151 seconds=0.0168
round=26 log2_max=-76.440017313495 seconds=0.0127
round=27 log2_max=-80.935307394940 seconds=0.0175
round=28 log2_max=-85.704522450018 seconds=0.0173
round=29 log2_max=-86.688411565230 seconds=0.0119
round=30 log2_max=-89.425233114549 seconds=0.0169
round=31 log2_max=-90.854315698220 seconds=0.0171
round=32 log2_max=-91.986920814136 seconds=0.0178
round=33 log2_max=-91.986920814136 seconds=0.0150
round=34 log2_max=-93.986193567788 seconds=0.0158
round=35 log2_max=-95.986140845163 seconds=0.0172
round=36 log2_max=-99.178738798004 seconds=0.0177
round=37 log2_max=-101.178738187559 seconds=0.0172
round=38 log2_max=-106.086977852472 seconds=0.0166
round=39 log2_max=-109.571557310334 seconds=0.0176
round=40 log2_max=-113.631236378756 seconds=0.0136
round=41 log2_max=-115.631236378756 seconds=0.0179
round=42 log2_max=-122.432730125524 seconds=0.0174
round=43 log2_max=-126.928019906268 seconds=0.0175
round=44 log2_max=-131.697235158476 seconds=0.0109
