round=1 log2_max=-2.000000000000 seconds=0.0503
round=2 log2_max=-4.000000000000 seconds=0.0769
round=3 log2_max=-4.000000000000 seconds=0.1358
round=4 log2_max=-6.000000000000 seconds=0.1804
round=5 log2_max=-8.000000000000 seconds=0.0414
round=6 log2_max=-11.299560281859 seconds=0.0327
round=7 log2_max=-13.299560281859 seconds=0.0567
round=8 log2_max=-18.375211682254 seconds=0.0170
round=9 log2_max=-21.975246891869 seconds=0.0193
round=10 log2_max=-26.165041544598 seconds=0.0067
round=11 log2_max=-28.165041544598 seconds=0.0426
round=12 log2_max=-35.018638805639 seconds=0.0108
round=13 log2_max=-39.651935652390 seconds=0.0176
round=14 log2_max=-44.099860676450 seconds=0.0151
round=15 log2_max=-45.387703477256 seconds=0.0146
round=16 log2_max=-48.324874763606 seconds=0.0168
round=17 log2_max=-49.886156321353 seconds=0.0166
round=18 log2_max=-51.146536074839 seconds=0.0177
round=19 log2_max=-51.146536074839 seconds=0.0340
round=20 log2_max=-53.146216495514 seconds=0.0169
round=21 log2_max=-55.146190521064 seconds=0.0125
round=22 log2_max=-58.445744165703 seconds=0.0120
round=23 log2_max=-60.445743532682 seconds=0.0168
round=24 log2_max=-65.520874290142 seconds=0.0127
